Building Name,City,Height (m),Height (ft),Floors,Completed,Material,Use,source: skyscraper center
One World Trade Center,New York City,541.3,1776,94,2014,composite,office,
Central Park Tower,New York City,472.4,1550,95,2020,concrete,residential / hotel / retail,
Willis Tower,Chicago,442.1,1451,108,1974,steel,office,
111 West 57th Street,New York City,435.3,1428,82,2018,concrete,residential,
One Vanderbilt,New York City,427,1401,58,2021,,office,
432 Park Avenue,New York City,425.5,1396,85,2015,concrete,residential,
Trump International Hotel & Tower,Chicago,423.2,1389,98,2009,concrete,residential / hotel,
30 Hudson Yards,New York City,386.6,1268,73,2019,steel/concrete,office,
Empire State Building,New York City,381,1250,102,1931,steel,office,
Bank of America Tower,New York City,365.8,1200,55,2009,composite,office,
Vista Tower,Chicago,361.6,1186,98,2020,concrete,residential / hotel,
Aon Center,Chicago,346.3,1136,83,1973,steel,office,
John Hancock Center,Chicago,343.7,1128,100,1969,steel,residential / office,
Comcast Technology Center,Philadelphia,341.7,1121,59,2018,composite,hotel / office,
Wilshire Grand Center,Los Angeles,335.3,1100,62,2017,composite,hotel / office,
3 World Trade Center,New York City,328.9,1079,69,2018,composite,office,
Salesforce Tower,San Francisco,326.1,1070,61,2018,composite,office,
9 DeKalb Avenue,New York City,324.9,1066,73,2020,,residential / office / retail,
53 West 53rd,New York City,320,1050,77,2018,composite,residential,
Chrysler Building,New York City,318.9,1046,77,1930,steel,office,
New York Times Tower,New York City,318.8,1046,52,2007,steel,office,
3 Hudson Boulevard,New York City,315.2,1034,66,2019,composite,residential / office,
Bank of America Plaza,Atlanta,311.8,1023,55,1992,composite,office,
U.S. Bank Tower,Los Angeles,310.3,1018,73,1990,steel,office,
35 Hudson Yards,New York City,307.5,1009,72,2019,concrete,residential / residential / residential / residential,
The Franklin - North Tower,Chicago,306.9,1007,60,1989,composite,office,
One57,New York City,306.1,1004,75,2014,steel/concrete,residential / hotel,
JPMorgan Chase Tower,Houston,305.4,1002,75,1982,composite,office,
One Manhattan West,New York City,303.3,995,67,2019,composite,office,
Two Prudential Plaza,Chicago,303.3,995,64,1990,concrete,office,
Wells Fargo Plaza,Houston,302.4,992,71,1983,steel,office,
4 World Trade Center,New York City,297.7,977,65,2014,composite,office,
Comcast Center,Philadelphia,296.7,974,57,2008,composite,office,
311 South Wacker Drive,Chicago,292.9,961,65,1990,concrete,office,
70 Pine,New York City,290.2,952,67,1932,steel,office,
220 Central Park South,New York City,289.6,950,66,2017,concrete,residential,
Key Tower,Cleveland,288.6,947,57,1991,composite,office,
One Liberty Place,Philadelphia,288,945,61,1987,steel,office,
Columbia Center,Seattle,284.4,933,76,1984,composite,office,
The Trump Building,New York City,282.5,927,71,1930,steel,office,
30 Park Place,New York City,282.2,926,67,2016,concrete,residential / hotel,
Bank of America Plaza,Dallas,280.7,921,72,1985,composite,office,
601 Lexington,New York City,278.9,915,63,1977,steel,office,
15 Hudson Yards,New York City,278.6,914,70,2018,concrete,residential,
Williams Tower,Houston,274.6,901,64,1982,steel,office,
125 Greenwich Street,New York City,273.7,898,71,2018,concrete,residential,
99 Hudson Street,Jersey City,271,889,76,2019,,residential / retail,
One Grant Park,Chicago,270.4,887,76,2019,concrete,residential,
Renaissance Tower,Dallas,270.1,886,56,1986,steel,office,
10 Hudson Yards,New York City,267.7,878,52,2016,composite,office / retail,
Bank of America Corporate Center,Charlotte,265.5,871,60,1992,concrete,office,
Eight Spruce Street,New York City,265.2,870,76,2011,concrete,residential,
900 North Michigan Avenue,Chicago,265,869,66,1989,concrete/steel,residential / office / hotel / retail,
Chase Tower,Chicago,264.6,868,61,1969,steel,office,
SunTrust Plaza,Atlanta,264.3,867,60,1992,concrete,office,
Trump World Tower,New York City,262.4,861,72,2001,concrete,residential,
Water Tower Place,Chicago,261.9,859,74,1976,concrete,residential / hotel / retail,
Aqua,Chicago,261.8,859,86,2009,concrete,residential / hotel,
Aon Center,Los Angeles,261.5,858,62,1974,steel,office,
Transamerica Pyramid,San Francisco,260,853,48,1972,composite,office,
Comcast Building,New York City,259.1,850,70,1933,steel,office,
Two Liberty Place,Philadelphia,258.5,848,58,1990,steel,residential / office,
One Manhattan Square,New York City,258.2,847,72,2019,concrete,residential,
425 Park Avenue,New York City,258.1,847,42,2018,composite,office,
