Film,IMdB Score
Battlefield Earth,2.5
Master of Disguise,3.3
The Room,3.7
Mortal Kombat: Annihilation,3.7
Mr Wrong,3.8
The Cat in the Hat,3.9
Norbit,4
Leprechaun: Back 2 tha Hood,4
Fifty Shades of Grey,4.1
Stop! Or My Mom Will Shoot,4.2
Gone Fishin,4.7
How it Ends,5
Stuart Saves His Family,5.3
Caligula,5.3
Aloha,5.4
Wine Country,5.5
Casa de mi Padre,5.5
Kevin and Perry Go Large,5.5
Fist Fight,5.6
Valentine's Day,5.7
Baby Mama,6
Next Friday,6.1
Pearl Harbor,6.1
This is 40,6.2
Young Adult,6.3
Mars Attacks,6.3
Despicable Me 3,6.3
Hail Caesar,6.3
Young Adult,6.3
The Number 23,6.4
Blended,6.5
Charlie and the Chocolate Factory,6.6
Something's Gotta Give,6.7
The Tree of Life,6.8
Thirteen,6.8
Lake House,6.8
Walk Hard: The Dewey Cox Story,6.8
Pure Country,7
The Adjustment Bureau,7.1
Pay it Forward,7.2
The Ballad of Cable Hogue,7.3
Aladdin,7.4
Alita: Battle Angel,7.5
Gangs of New York,7.5
300,7.7
Lost in Translation,7.7
Avatar,7.8
Magnolia,8
Mulholland Drive,8
Gladiator,8.5
Forrest Gump,8.8
