Geography,2015 City Population,Metro Population,"Sources: ACS 1-Year Estimate - 2015, Census Population Estimate - 2015"
New York,8550405,20118063,
Los Angeles,3971896,13268828,
Chicago,2720556,9532569,
Houston,2298628,6647465,
Philadelphia,1567442,6062303,
Phoenix,1563001,4567857,
San Antonio,1469824,2381703,
San Diego,1394907,3290245,
Dallas,1300082,7089888,
San Jose,1026919,1968578,
Austin,931840,1998104,
Jacksonville,868031,1448016,
San Francisco,864816,4642227,
Columbus,849067,2020144,
Indianapolis,848423,1986542,
Fort Worth,836969,7089888,
Charlotte,827121,2424643,
Seattle,684443,3727097,
Denver,682545,2808816,
El Paso,681136,837208,
Detroit,677124,4297538,
Washington,672228,6078469,
Boston,669469,4766755,
Memphis,655760,1341954,
Nashville,654596,1828961,
Portland,632187,2384807,
Oklahoma City,631263,1356965,
Las Vegas,623769,2109289,
Baltimore,621849,2793837,
Louisville,615389,1277583,
Milwaukee,600154,1574349,
Albuquerque,559131,905174,
Tucson,531674,1008205,
Fresno,520072,972130,
Sacramento,490715,2267588,
Kansas City,475361,2084464,
Long Beach,474172,13268828,
Mesa,471833,4567857,
Atlanta,463875,5699050,
Colorado Springs,456562,697619,
Virginia Beach,452745,1723468,
Raleigh,451949,1271381,
Omaha,443887,914268,
Miami,440989,6001717,
Oakland,419278,4642227,
Minneapolis,410935,3518252,
Tulsa,403091,980459,
Wichita,389955,643016,
New Orleans,389617,1262071,
Arlington,388122,6078469,
