Chart,Chart Type,Function
1,Bar,Instructional
2,Bar,Chart Making Tool/Library
3,Pie,Instructional
4,Bar,Instructional
5,Line,Instructional
6,Bar,Chart Making Tool/Library
7,Bar,Chart Making Tool/Library
8,Stock,Chart Making Tool/Library
9,Line,Blog Post
10,Matrix/Table,Blog Post
11,Line,Financial Tools
12,Line,Chart Making Tool/Library
13,Bar,Instructional
14,Pie,Chart Making Tool/Library
15,Infographic,Commerce
16,Donut,Chart Making Tool/Library
17,Bar,Instructional
18,Multiple Types,Chart Making Tool/Library
19,Line,Chart Making Tool/Library
20,Pie,Instructional
21,Multiple Types,Chart Making Tool/Library
22,Size Chart,Commerce
23,Bar,Chart Making Tool/Library
24,Bar,Chart Making Tool/Library
25,Bar,Chart Making Tool/Library
26,Bar,Clip Art
27,Matrix/Table,Instructional
28,Size Chart,Commerce
29,Matrix/Table,Instructional
30,Bar,Clip Art
31,Stock,Financial Tools
32,Pie,Instructional
33,Line,Chart Making Tool/Library
34,Line,Chart Making Tool/Library
35,Stock,Financial Tools
36,Bar,Chart Making Tool/Library
37,Bar,Chart Making Tool/Library
38,Stock,Financial Tools
39,Radar,Chart Making Tool/Library
40,Line,Chart Making Tool/Library
41,Bar,Clip Art
42,Bar,Chart Making Tool/Library
43,Matrix/Table,Template
44,Size Chart,Commerce
45,Pie,Instructional
46,Org Chart,Chart Making Tool/Library
47,Matrix/Table,Template
48,Donut,Chart Making Tool/Library
49,Multiple Types,Chart Making Tool/Library
50,Pie,Instructional
