Animal,Eyeball Size (mm),Binomial name,,Sources: noadi.net/EyeSizes.html
Collosal Squid,280,Mesonychoteuthis hamiltoni,,
Giant Squid,250,Architeuthis dux,,
Blue Whale,150,Balaenoptera musculus,,
Harbor Seal,40,Phoca vitulina,,
Moose,40,Alces alces,,
Cow,34,Bos taurus,,
Elephant,34,Elephas maximus,,
Horse,34,Equus ferus caballus,,
Deer,30,,,
Boar,28,Sus scrofa,,
Cougar,28,,,
Dolphin,24,,,
Human,24,Homo sapiens,,
Bear,22,,,
Bobcat,20,Lynx rufus,,
Fox,20,,,
Great Horned Owl,20,Bubo virginianus,,
Eagle,18,,,
Wolverine,14,Gulo gulo,,
Barn Owl,12,Tyto alba,,
Goose,12,,,
Loon,12,,,
Redtail Hawk,12,Buteo jamaicensis,,
Chicken,10,,,
Mallard Duck,10,Anas platyrhynchos,,
Otter,10,,,
Bullfrog,8,,,
Ferret,8,Mustela putorius furo,,
Painted Turtle,8,Chrysemys picta,,
Rattlesnake,8,,,
Squirrel,8,,,
