Year,Rent Actual,Rent_MOE,Median Income Actual,Median_Income_MOE,Rent 2016 Dollars,Rent 2016 MOE,Median Income 2016 Dollars,Median Income 2016 MOE,Building Permits,LAHSA PIT Count
2016,1315,12,54432,1028,1315,12,54432,1028,3668,28464
2015,1271,11,52024,609,1283.71,11.11,52544.24,615.09,3597,25686
2014,1214,9,50544,563,1226.14,9.09,51049.44,568.63,3240,
2013,1182,7,48466,1064,1217.46,7.21,49919.98,1095.92,2501,22993
2012,1148,8,46803,663,1205.4,8.4,49143.15,696.15,,
2011,1135,11,46148,675,1225.8,11.88,49839.84,729,,23539
2010,1117,10,47031,755,1217.53,10.9,51263.79,822.95,,
2009,1094,12,48617,730,1225.28,13.44,54451.04,817.6,,25771
2008,1056,13,48882,1004,1182.72,14.56,54747.84,1124.48,,
2007,986,10,47781,1022,1153.62,11.7,55903.77,1195.74,,
2006,939,10,44445,954,1117.41,11.9,52889.55,1135.26,,
2005,883,10,42667,973,1094.92,12.4,52907.08,1206.52,,
2000,672,,36687,,940.8,,51361.8,,,
