Park,State,Handle,Visited,Twitter,Visitors (2016),source: https://irma.nps.gov/Stats
Acadia National Park,Maine,AcadiaNPS,No,Yes,3303393,
American Samoa National Park,American Samoa,NPamericansamoa,No,Yes,28892,
Denali National Park,Alaska,DenaliNPS,Yes,Yes,587412,
Kenai Fjords National Park,Alaska,KenaiFjordsNPS,Yes,Yes,346534,
Grand Canyon National Park,Arizona,GrandCanyonNPS,Yes,Yes,5969811,
Petrified Forest National Park,Arizona,PetrifiedNPS,Yes,Yes,643274,
Saguaro National Park,Arizona,SaguaroNPS,Yes,Yes,820426,
Hot Springs National Park,Arkansas,,Yes,No,1544300,
Channel Islands National Park,California,CHISNPS,Yes,Yes,364807,
Death Valley National Park,California,DeathValleyNPS,Yes,Yes,1296283,
Joshua Tree National Park,California,JoshuaTreeNPS,Yes,Yes,2505286,
Kings Canyon National Park,California,SequoiaKingsNPS,Yes,Yes,607479,
Lassen Volcanic National Park,California,LassenNPS,Yes,Yes,536068,
Cuyahoga Valley National Park,Ohio,CVNPNPS,No,Yes,2423390,
Pinnacles National Park,California,PinnaclesNPS,Yes,Yes,215555,
Redwoods National and State Parks,California,RedwoodNPS,Yes,Yes,536297,
Sequoia National Park,California,SequoiaKingsNPS,Yes,Yes,1254688,
Yosemite National Park,California,YosemiteNPS,Yes,Yes,5028868,
Gates of the Arctic National Park & Preserve,Alaska,GatesArcticNPS,No,Yes,10047,
Glacier Bay National Park,Alaska,GlacierBayNPS,No,Yes,520171,
Black Canyon of the Gunnison National Park,Colorado,BlackCanyonNPS,Yes,Yes,238018,
Great Sand Dunes National Park,Colorado,,Yes,No,388308,
Mesa Verde National Park,Colorado,,Yes,No,583527,
Rocky Mountain National Park,Colorado,RockyNPS,Yes,Yes,4517585,
Biscayne National Park,Florida,BiscayneNPS,Yes,Yes,514709,
Dry Tortugas National Park,Florida,DryTortugasNPS,Yes,Yes,73661,
Everglades National Park,Florida,EvergladesNPS,Yes,Yes,930907,
Katmai National Park,Alaska,KatmaiNPS,No,Yes,37818,
Haleakala National Park,Hawaii,HaleakalaNPS,Yes,Yes,1263558,
Volcanoes National Park,Hawaii,Volcanoes_NPS,Yes,Yes,1887580,
Kobuk Valley National Park & Preserve,Alaska,,No,Yes,15500,
Lake Clark National Park & Preserve,Alaska,LakeClarkNPS,No,Yes,21102,
Mammoth Cave National Park,Kentucky,MammothCaveNP,Yes,Yes,586514,
Glacier National Park,Montana,glaciernps,Yes,Yes,2946681,
Great Basin National Park,Nevada,GreatBasinNPS,Yes,Yes,144846,
Carlsbad Caverns National Park,New Mexico,CavernsNPS,Yes,Yes,466773,
Theodore Roosevelt National Park,North Dakota,TRooseveltNPS,Yes,Yes,753880,
Crater Lake National Park,Oregon,CraterLakeNPS,Yes,Yes,756344,
Congaree National Park,South Carolina,CongareeNPS,Yes,Yes,143843,
Badlands National Park,South Dakota,BadlandsNPS,Yes,Yes,996263,
Wind Cave National Park,South Dakota,WindCaveNPS,Yes,Yes,617377,
Great Smoky Mountains National Park,Tennessee/North Carolina,GreatSmokyNPS,Yes,Yes,11312786,
Big Bend National Park and Rio Grande Wild & Scenic River,Texas,BigBendNPS,Yes,Yes,388290,
Guadalupe Mountain National Park,Texas,GuadalupeMtnsNP,Yes,Yes,181839,
Arches National Park,Utah,ArchesNPS,Yes,Yes,1585718,
Bryce Canyon National Park,Utah,BryceCanyonNPS,Yes,Yes,2365110,
Wrangell- St. Elias National Park & Preserve,Alaska,WrangellStENPS,No,Yes,79047,
Canyonlands National Park,Utah,CanyonlandsNPS,Yes,Yes,776218,
Capitol Reef National Park,Utah,CapitolReefNPS,Yes,Yes,1064904,
Zion National Park,Utah,ZionNPS,Yes,Yes,4295127,
Voyageurs National Park,Minnesota,,No,No,241912,
Isle Royale National Park,Michigan,,No,No,24966,
Shenandoah National Park,Virginia,ShenandoahNPS,Yes,Yes,1437341,
Mount Rainier National Park,Washington,MountRainierNPS,Yes,Yes,1356913,
North Cascades National Park Complex,Washington,NCascadesNPS,Yes,Yes,28646,
Olympic National Park,Washington,OlympicNP,Yes,Yes,3390221,
Grand Teton National Park,Wyoming,GrandTetonNPS,Yes,Yes,3270076,
Yellowstone National Park,Wyoming/Montana,YellowstoneNPS,Yes,Yes,4257177,
Virgin Islands,Virgin Islands,,Yes,No,411343,
