,TOTAL,WHITE,BLACK,AK_NH,ASIAN_NH,PI_NH,OTHER_NH,MIX_NH,HISP_ALL,WHITE_H,BLACK_H,AK_H,ASIAN_H,PI_H,OTHER_H,MIX_H,NAME,county,state,tract,county_map,AK,API,OTHER_MIX,HISP,AK_PER,API_PER,BLACK_PER,HISP_PER,OTHER_MIX_PER,WHITE_PER,MAX_ETH_PER,MAX_ETH,Above 70,Above 80,Above 90
0,4012.0,2826.0,500.0,6.0,358.0,0.0,0.0,98.0,224.0,194.0,0.0,0.0,0.0,0.0,30.0,0.0,"Census Tract 1, Philadelphia County, Pennsylvania",101,42,000100,"Philadelphia County, Pennsylvania",6.0,358.0,98.0,224.0,0.0014955134596211367,0.08923230309072781,0.12462612163509472,0.05583250249252243,0.024426719840478565,0.7043868394815553,0.7043868394815553,WHITE_PER,1,0,0
1,2563.0,821.0,156.0,13.0,1389.0,0.0,0.0,73.0,111.0,4.0,0.0,0.0,0.0,0.0,46.0,61.0,"Census Tract 2, Philadelphia County, Pennsylvania",101,42,000200,"Philadelphia County, Pennsylvania",13.0,1389.0,73.0,111.0,0.005072181037846274,0.5419430355052672,0.060866172454155286,0.04330862270776434,0.02848224736636754,0.3203277409285993,0.5419430355052672,API_PER,0,0,0
2,3530.0,2520.0,150.0,0.0,447.0,21.0,0.0,138.0,254.0,220.0,0.0,0.0,0.0,0.0,25.0,9.0,"Census Tract 3, Philadelphia County, Pennsylvania",101,42,000300,"Philadelphia County, Pennsylvania",0.0,468.0,138.0,254.0,0.0,0.13257790368271954,0.042492917847025496,0.07195467422096317,0.039093484419263455,0.7138810198300283,0.7138810198300283,WHITE_PER,1,0,0
3,2666.0,1442.0,344.0,0.0,663.0,0.0,0.0,30.0,187.0,163.0,2.0,0.0,0.0,0.0,8.0,14.0,"Census Tract 4.01, Philadelphia County, Pennsylvania",101,42,000401,"Philadelphia County, Pennsylvania",0.0,663.0,30.0,187.0,0.0,0.24868717179294825,0.12903225806451613,0.07014253563390847,0.011252813203300824,0.5408852213053263,0.5408852213053263,WHITE_PER,0,0,0
4,3202.0,2705.0,178.0,0.0,249.0,0.0,0.0,54.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,"Census Tract 4.02, Philadelphia County, Pennsylvania",101,42,000402,"Philadelphia County, Pennsylvania",0.0,249.0,54.0,16.0,0.0,0.07776389756402248,0.055590256089943786,0.004996876951905059,0.016864459712679577,0.8447845096814491,0.8447845096814491,WHITE_PER,1,1,0
5,2451.0,876.0,816.0,0.0,361.0,0.0,0.0,56.0,342.0,250.0,35.0,15.0,0.0,0.0,28.0,14.0,"Census Tract 5, Philadelphia County, Pennsylvania",101,42,000500,"Philadelphia County, Pennsylvania",15.0,361.0,56.0,327.0,0.006119951040391677,0.14728682170542637,0.3329253365973072,0.13341493268053856,0.02284781721746226,0.3574051407588739,0.3574051407588739,WHITE_PER,0,0,0
6,1301.0,890.0,141.0,0.0,140.0,0.0,0.0,2.0,128.0,101.0,0.0,0.0,0.0,0.0,20.0,7.0,"Census Tract 6, Philadelphia County, Pennsylvania",101,42,000600,"Philadelphia County, Pennsylvania",0.0,140.0,2.0,128.0,0.0,0.10760953112990007,0.1083781706379708,0.0983858570330515,0.0015372790161414297,0.6840891621829363,0.6840891621829363,WHITE_PER,0,0,0
7,3254.0,1866.0,411.0,0.0,606.0,10.0,0.0,74.0,287.0,272.0,0.0,0.0,15.0,0.0,0.0,0.0,"Census Tract 7, Philadelphia County, Pennsylvania",101,42,000700,"Philadelphia County, Pennsylvania",0.0,631.0,74.0,272.0,0.0,0.19391518131530425,0.1263060848186847,0.08358942839582052,0.022741241548862937,0.5734480639213276,0.5734480639213276,WHITE_PER,0,0,0
8,1588.0,1108.0,148.0,0.0,113.0,0.0,86.0,18.0,115.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,"Census Tract 8.01, Philadelphia County, Pennsylvania",101,42,000801,"Philadelphia County, Pennsylvania",0.0,113.0,104.0,115.0,0.0,0.07115869017632241,0.09319899244332494,0.07241813602015114,0.0654911838790932,0.6977329974811083,0.6977329974811083,WHITE_PER,0,0,0
9,3569.0,2953.0,17.0,12.0,426.0,0.0,0.0,99.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,"Census Tract 8.03, Philadelphia County, Pennsylvania",101,42,000803,"Philadelphia County, Pennsylvania",12.0,426.0,99.0,62.0,0.0033622863547212102,0.11936116559260297,0.0047632390025217144,0.017371812832726253,0.027738862426449986,0.8274026337909779,0.8274026337909779,WHITE_PER,1,1,0
