BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,LOCATION START DATE,Y,X
KAI POKE BAR INC,,23349 MULHOLLAND DRIVE UNIT #B,WOODLAND HILLS,91364-2734,23349 MULHOLLAND 91364-2734,4/1/2017,,
POKE EXPRESS,,"316 E 2nd St, Los Angeles, CA 90012",,,,8/17/2016,,
POKE TENDO,,518 W 7th St,,,,1/18/2017,,
POKE BAR,,5273 W OLYMPIC BLVD,,,,3/8/2017,,
POKEMOLE,,530 S OCCIDENTAL BLVD,,,,12/10/2016,,
AHIPOKI,,3782 S FIGUEROA,,,,6/25/2016,,
8OZ POKE,,7217 MELROSE AVE,,,,4/10/2017,,
POKEWELL,,7261 MELROSE AVE,,,,11/22/2016,,
SWEETFIN POKE,,135 N LARCHMONT,,,,11/11/2016,,
POKEBAR,,350 S GRAND,,,,8/11/2016,,
SLOWPOKE,,1842 W WASHINGTON BLVD,,,,2/21/2017,,
EN JOY BOWLS,,17815 CHATSWORTH ST,,,,11/7/2016,,
POKEWELL,,11925 VENTURA BLVD,,,,7/28/2016,,
THE POKE SHACK,,1425 OCEAN FRONT WALK,,,,9/18/2016,,
MAHALO POKE,,6600 TOPANGA CYN UNIT #1008,CANOGA PARK,91303-2649,6600 TOPANGA CYN 91303-2649,4/15/2016,34.3005,-118.5073
POKE CLUB,,463 S LA BREA AVENUE,LOS ANGELES,90036-3523,463 LA BREA 90036-3523,12/1/2016,34.2327,-118.5646
WELLDON GROUP LLC,POKE BY HAWAII,2516 S FIGUEROA STREET,LOS ANGELES,90007-2549,2516 FIGUEROA 90007-2549,8/1/2016,34.2323,-118.4516
RESSUL RASSALLAT,SEA SALT POKE,11301 W OLYMPIC BLVD #106,LOS ANGELES,90064-1653,11301 OLYMPIC 90064-1653,4/29/2016,34.1796,-118.5249
THE POKE ME WORLDWIDE INC.,POKE ME,1244 WESTWOOD BLVD,LOS ANGELES,90024-4801,1244 WESTWOOD 90024-4801,1/1/2017,34.1528,-118.4601
WH POKE BAR INC,,6215 TOPANGA CANYON BLVD,WOODLAND HILLS,91367-2213,6215 TOPANGA CANYON 91367-2213,9/1/2016,34.1491,-118.4325
OH MY POKI INC,OH MY POKI,333 S ALAMEDA STREET SUITE #100-N,LOS ANGELES,90013-1740,333 ALAMEDA 90013-1740,4/1/2016,34.1395,-118.3807
SW CREATION INC,POKE TIKI,18509 VENTURA BLVD,TARZANA,91356-4136,18509 VENTURA 91356-4136,1/14/2016,34.1339,-118.358
POKE RAINBOW,,15355 SHERMAN WAY UNIT #R,VAN NUYS,91406-4200,15355 SHERMAN 91406-4200,12/9/2016,34.1316,-118.1901
SWEETFIN WESTWOOD LLC,SWEETFIN POKE,1146 WESTWOOD BLVD,LOS ANGELES,90024-3412,1146 WESTWOOD 90024,1/10/2016,34.1118,-118.2782
SWEETFISH POKE VENTURES LLC,HONEYFISH POKE,7205 VAN NUYS BLVD,VAN NUYS,91405-2256,7205 VAN NUYS 91405-2256,3/1/2017,34.1034,-118.3482
PURA VIDA POKE LLC,,11275 WESTMINSTER AVENUE APARTMENT #206,LOS ANGELES,90066-2957,11275 WESTMINSTER 90066-2957,7/25/2016,34.0776,-118.2935
THE POKE PLACE,,734 N CROFT AVENUE APARTMENT #5,LOS ANGELES,90069-5323,734 CROFT 90069,8/28/2014,34.0754,-118.2929
STUDIO POKEBAR INC,ALL ABOUT POKE,13203 VENTURA BLVD,STUDIO CITY,91604-1835,13203 VENTURA 91604-1835,10/7/2015,34.0676,-118.344
STUDIO POKEBAR INC,ALL ABOUT POKE,13203 VENTURA BLVD,STUDIO CITY,91604-1835,13203 VENTURA 91604-1835,10/7/2015,34.0676,-118.344
POKE-POKE LLC,POKE-POKE,1827 OCEAN FRONT WALKS,VENICE,90291-4116,1827 OCEAN FRONT 90291-4116,1/1/2009,34.0657,-118.4124
WILD POKE LLC,WILD POKE,1301 OCEAN FRONT WALKS,VENICE,90291-3604,1301 OCEAN FRONT 90291-3604,6/8/2016,34.0531,-118.2803
THE POKE ME WORLDWIDE INC.,,310 S LA BREA AVENUE SUITE #E,LOS ANGELES,90036-3595,310 LA BREA 90036-3595,1/1/2017,34.053,-118.4681
NH POKE BAR INC,,11114 MAGNOLIA BLVD,NORTH HOLLYWOOD,91601-3812,11114 MAGNOLIA 91601-3812,1/30/2017,34.0526,-118.2992
HOKE POKE 801 HOPE LLC,,801 S HOPE STREET UNIT #B,LOS ANGELES,90017-4687,801 HOPE 90017-4687,9/1/2016,34.0524,-118.4717
"DAELIN, INC",8OZ POKE,15030 VENTURA BLVD #2,SHERMAN OAKS,91403-5470,15030 VENTURA 91403-5470,1/15/2016,34.0484,-118.252
KENNETH KEUNBO KIM,CORAL FISH,6357 WILSHIRE BLVD,LOS ANGELES,90048-5001,6357 WILSHIRE 90048-5001,9/27/2013,34.0461,-118.4269
HYUNG YI,POKE HANA,10201 RESEDA BLVD #106,NORTHRIDGE,91324-5010,10201 RESEDA 91324-5010,9/9/2016,34.0456,-118.2546
KOPE POKI INC,KOPE POKI,1903 HYPERION AVENUE,LOS ANGELES,90027-4739,1903 HYPERION 90027-4739,12/19/2016,34.0425,-118.2645
SPINFISH RESTAURANTS LLC,SPINFISH POKE HOUSE,372 E 2ND STREET,LOS ANGELES,90012-4203,372 2ND 90012-4203,1/27/2017,34.042,-118.3513
"WIKI POKI, USA, INC.",,3438 WILSHIRE BLVD,LOS ANGELES,90010-2204,3438 WILSHIRE 90010-2204,2/5/2015,34.0415,-118.4297
BEST FISH POKE INC,HONEY FISH POKE,8850 TAMPA AVENUE #107,NORTHRIDGE,91324-3597,8850 TAMPA 91324-3597,7/18/2016,34.0402,-118.2136
MONOARA INC,MONO POKE,8800 S SEPULVEDA BLVD SUITE #3,LOS ANGELES,90045-4851,8800 SEPULVEDA 90045-4851,11/1/2016,34.0364,-117.6328
