Category,imdb_id,title,year
Fast and Furious,tt1013752,Fast & Furious,2009
Fast and Furious,tt1905041,Fast & Furious 6,2013
Fast and Furious,tt2820852,Furious 7,2015
Fast and Furious,tt0232500,The Fast and the Furious,2001
Fast and Furious,tt1596343,Fast Five,2011
Fast and Furious,tt0322259,2 Fast 2 Furious,2003
Fast and Furious,tt0463985,The Fast and the Furious: Tokyo Drift,2006
Fast and Furious,tt4630562,The Fate of the Furious,2017
Police Academy,tt0087928,Police Academy,1984
Police Academy,tt0089822,Police Academy 2: Their First Assignment,1985
Police Academy,tt0091777,Police Academy 3: Back in Training,1986
Police Academy,tt0093756,Police Academy 4: Citizens on Patrol,1987
Police Academy,tt0095882,Police Academy 5: Assignment: Miami Beach,1988
Police Academy,tt0098105,Police Academy 6: City Under Siege,1989
Police Academy,tt0110857,Police Academy: Mission to Moscow,1994
Nightmare on Elm Street,tt0087800,A Nightmare on Elm Street,1984
Nightmare on Elm Street,tt0329101,Freddy vs. Jason,2003
Nightmare on Elm Street,tt0093629,A Nightmare on Elm Street 3: Dream Warriors,1987
Nightmare on Elm Street,tt0111686,New Nightmare,1994
Nightmare on Elm Street,tt0095742,A Nightmare on Elm Street 4: The Dream Master,1988
Nightmare on Elm Street,tt0089686,A Nightmare on Elm Street 2: Freddy's Revenge,1985
Nightmare on Elm Street,tt0097981,A Nightmare on Elm Street 5: The Dream Child,1989
Nightmare on Elm Street,tt0101917,Freddy's Dead: The Final Nightmare,1991
Saw,tt0387564,Saw,2004
Saw,tt0432348,Saw II,2005
Saw,tt0489270,Saw III,2006
Saw,tt0890870,Saw IV,2007
Saw,tt1132626,Saw V,2008
Saw,tt1233227,Saw VI,2009
Saw,tt1477076,Saw 3D: The Final Chapter,2010
Friday the 13th,tt0080761,Friday the 13th,1980
Friday the 13th,tt0329101,Freddy vs. Jason,2003
Friday the 13th,tt0082418,Friday the 13th Part 2,1981
Friday the 13th,tt0083972,Friday the 13th Part III,1982
Friday the 13th,tt0087298,Friday the 13th: The Final Chapter,1984
Friday the 13th,tt0211443,Jason X,2001
Friday the 13th,tt0095179,Friday the 13th Part VII: The New Blood,1988
Friday the 13th,tt0091080,Jason Lives: Friday the 13th Part VI,1986
Friday the 13th,tt0089173,Friday the 13th: A New Beginning,1985
Friday the 13th,tt0097388,Friday the 13th Part VIII: Jason Takes Manhattan,1989
Friday the 13th,tt0107254,Jason Goes to Hell: The Final Friday,1993
Star Trek,tt0084726,Star Trek II: The Wrath of Khan,1982
Star Trek,tt0092007,Star Trek IV: The Voyage Home,1986
Star Trek,tt0088170,Star Trek III: The Search for Spock,1984
Star Trek,tt0079945,Star Trek: The Motion Picture,1979
Star Trek,tt0102975,Star Trek VI: The Undiscovered Country,1991
Star Trek,tt0098382,Star Trek V: The Final Frontier,1989
Final Destination,tt0195714,Final Destination,2000
Final Destination,tt0309593,Final Destination 2,2003
Final Destination,tt0414982,Final Destination 3,2006
Final Destination,tt1622979,Final Destination 5,2011
Final Destination,tt1144884,The Final Destination,2009
Rocky,tt0075148,Rocky,1976
Rocky,tt0479143,Rocky Balboa,2006
Rocky,tt0079817,Rocky II,1979
Rocky,tt0089927,Rocky IV,1985
Rocky,tt0084602,Rocky III,1982
Rocky,tt0100507,Rocky V,1990
Rocky,tt3076658,Creed,2015
Step Up,tt0462590,Step Up,2006
Step Up,tt1023481,Step Up 2: The Streets,2008
Step Up,tt1193631,Step Up 3D,2010
Step Up,tt1800741,Step Up Revolution,2012
Step Up,tt2626350,Step Up All In,2014
Mission Impossible,tt0117060,Mission: Impossible,1996
Mission Impossible,tt1229238,Mission: Impossible - Ghost Protocol,2011
Mission Impossible,tt0317919,Mission: Impossible III,2006
Mission Impossible,tt0120755,Mission: Impossible II,2000
Mission Impossible,tt2381249,Mission: Impossible - Rogue Nation,2015
Die Hard,tt0095016,Die Hard,1988
Die Hard,tt0112864,Die Hard with a Vengeance,1995
Die Hard,tt0337978,Live Free or Die Hard,2007
Die Hard,tt0099423,Die Hard 2,1990
Die Hard,tt1606378,A Good Day to Die Hard,2013
Resident Evil,tt0120804,Resident Evil,2002
Resident Evil,tt0318627,Resident Evil: Apocalypse,2004
Resident Evil,tt0432021,Resident Evil: Extinction,2007
Resident Evil,tt1220634,Resident Evil: Afterlife,2010
Resident Evil,tt1855325,Resident Evil: Retribution,2012
Resident Evil,tt2592614,Resident Evil: The Final Chapter,2016
Child's Play,tt0094862,Child's Play,1988
Child's Play,tt0144120,Bride of Chucky,1998
Child's Play,tt0387575,Seed of Chucky,2004
Child's Play,tt0099253,Child's Play 2,1990
Child's Play,tt0103956,Child's Play 3,1991
Child's Play,tt2230358,Curse of Chucky,2013
Children of the Corn,tt0087050,Children of the Corn,1984
Children of the Corn,tt0106557,Children of the Corn II: The Final Sacrifice,1992
Children of the Corn,tt0109415,Children of the Corn III: Urban Harvest,1995
Children of the Corn,tt0115885,Children of the Corn: The Gathering,1996
Children of the Corn,tt0150111,Children of the Corn V: Fields of Terror,1998
Children of the Corn,tt0177625,Children of the Corn 666: Isaac's Return,1999
Children of the Corn,tt0279730,Children of the Corn: Revelation,2001
Death Wish,tt0071402,Death Wish,1974
Death Wish,tt0082250,Death Wish II,1982
Death Wish,tt0089003,Death Wish 3,1985
Death Wish,tt0092857,Death Wish 4: The Crackdown,1987
Death Wish,tt0109578,Death Wish V: The Face of Death,1994
Dirty Harry,tt0066999,Dirty Harry,1971
Dirty Harry,tt0070355,Magnum Force,1973
Dirty Harry,tt0074483,The Enforcer,1976
Dirty Harry,tt0086383,Sudden Impact,1983
