Category,level_1,imdb_id,title,year,rating,votes
Child's Play,0,tt0094862,Child's Play,1988,6.5,65827
Child's Play,1,tt0099253,Child's Play 2,1990,5.7,33458
Child's Play,2,tt0103956,Child's Play 3,1991,5.0,26577
Child's Play,3,tt0144120,Bride of Chucky,1998,5.4,41712
Child's Play,4,tt0387575,Seed of Chucky,2004,4.9,30139
Child's Play,5,tt2230358,Curse of Chucky,2013,5.6,24885
Die Hard,0,tt0095016,Die Hard,1988,8.2,632420
Die Hard,1,tt0099423,Die Hard 2,1990,7.1,283823
Die Hard,2,tt0112864,Die Hard with a Vengeance,1995,7.6,312744
Die Hard,3,tt0337978,Live Free or Die Hard,2007,7.2,347866
Die Hard,4,tt1606378,A Good Day to Die Hard,2013,5.3,172998
Fast and Furious,0,tt0232500,The Fast and the Furious,2001,6.7,289807
Fast and Furious,1,tt0322259,2 Fast 2 Furious,2003,5.9,206190
Fast and Furious,2,tt0463985,The Fast and the Furious: Tokyo Drift,2006,6.0,193928
Fast and Furious,3,tt1013752,Fast & Furious,2009,6.6,217861
Fast and Furious,4,tt1596343,Fast Five,2011,7.3,301330
Fast and Furious,5,tt1905041,Fast & Furious 6,2013,7.1,318559
Fast and Furious,6,tt2820852,Furious 7,2015,7.2,301927
Fast and Furious,7,tt4630562,The Fate of the Furious,2017,7.1,82195
Final Destination,0,tt0195714,Final Destination,2000,6.7,190338
Final Destination,1,tt0309593,Final Destination 2,2003,6.2,126766
Final Destination,2,tt0414982,Final Destination 3,2006,5.8,108387
Final Destination,3,tt1144884,The Final Destination,2009,5.2,79538
Final Destination,4,tt1622979,Final Destination 5,2011,5.9,88121
Friday the 13th,0,tt0080761,Friday the 13th,1980,6.5,89096
Friday the 13th,1,tt0082418,Friday the 13th Part 2,1981,6.1,42799
Friday the 13th,2,tt0083972,Friday the 13th Part III,1982,5.7,34526
Friday the 13th,3,tt0087298,Friday the 13th: The Final Chapter,1984,5.9,31892
Friday the 13th,4,tt0089173,Friday the 13th: A New Beginning,1985,4.8,24154
Friday the 13th,5,tt0091080,Jason Lives: Friday the 13th Part VI,1986,5.9,27328
Friday the 13th,6,tt0095179,Friday the 13th Part VII: The New Blood,1988,5.3,23132
Friday the 13th,7,tt0097388,Friday the 13th Part VIII: Jason Takes Manhattan,1989,4.6,24670
Friday the 13th,8,tt0107254,Jason Goes to Hell: The Final Friday,1993,4.3,20678
Friday the 13th,9,tt0211443,Jason X,2001,4.4,41056
Friday the 13th,10,tt0329101,Freddy vs. Jason,2003,5.8,93212
Friday the 13th,10,tt0329101,Freddy vs. Jason,2003,5.8,93212
Mission Impossible,0,tt0117060,Mission: Impossible,1996,7.1,317281
Mission Impossible,1,tt0120755,Mission: Impossible II,2000,6.1,255698
Mission Impossible,2,tt0317919,Mission: Impossible III,2006,6.9,270741
Mission Impossible,3,tt1229238,Mission: Impossible - Ghost Protocol,2011,7.4,382842
Mission Impossible,4,tt2381249,Mission: Impossible - Rogue Nation,2015,7.4,257925
Nightmare on Elm Street,0,tt0087800,A Nightmare on Elm Street,1984,7.5,160283
Nightmare on Elm Street,1,tt0089686,A Nightmare on Elm Street 2: Freddy's Revenge,1985,5.4,46686
Nightmare on Elm Street,2,tt0093629,A Nightmare on Elm Street 3: Dream Warriors,1987,6.6,53504
Nightmare on Elm Street,3,tt0095742,A Nightmare on Elm Street 4: The Dream Master,1988,5.7,38670
Nightmare on Elm Street,4,tt0097981,A Nightmare on Elm Street 5: The Dream Child,1989,5.1,31689
Nightmare on Elm Street,5,tt0101917,Freddy's Dead: The Final Nightmare,1991,4.9,32743
Nightmare on Elm Street,6,tt0111686,New Nightmare,1994,6.4,40470
Nightmare on Elm Street,7,tt0329101,Freddy vs. Jason,2003,5.8,93212
Nightmare on Elm Street,7,tt0329101,Freddy vs. Jason,2003,5.8,93212
Police Academy,0,tt0087928,Police Academy,1984,6.7,92541
Police Academy,1,tt0089822,Police Academy 2: Their First Assignment,1985,5.6,41590
Police Academy,2,tt0091777,Police Academy 3: Back in Training,1986,5.2,34635
Police Academy,3,tt0093756,Police Academy 4: Citizens on Patrol,1987,4.8,33215
Police Academy,4,tt0095882,Police Academy 5: Assignment: Miami Beach,1988,4.4,26882
Police Academy,5,tt0098105,Police Academy 6: City Under Siege,1989,4.2,23172
