Order,State,Date Admitted,Year,1st Census,First Settlements (Focus on English),Source: www.senclewises.com,,,
0,United States,1776/07/04,1776,,,,,3/4/2017,2017
1,Delaware,1787/12/07,1787,1790,1664-English Capture Dutch Territory; 1631-Lewes (Du),,,,
2,Pennsylvania,1787/12/12,1787,1790,1682-William Penn Settles Philadelphia; 1643-Swedes,,,,
3,New Jersey,1787/12/18,1787,1790,1664-English Capture Dutch Territory; 1660-Bergen (Du),,,,
4,Georgia,1788/01/02,1788,1790,1733-Oglethorpe Settles Savannah; ~1600-Spanish Settle,,,,
5,Connecticut,1788/01/09,1788,1790,"1639-English Settle Wethersfield, Hartford, Windsor",,,,
6,Massachusetts,1788/02/06,1788,1790,1620-Plymouth; 1630-Boston,,,,
7,Maryland,1788/04/28,1788,1790,1634-St. Mary's River; 1649-Annapolis (from Virginia),,,,
8,South Carolina,1788/05/23,1788,1790,1670-Albemarle Point; 1680-Charles Towne; 1730s-Others,,,,
9,New Hampshire,1788/06/21,1788,1790,1623-English Settle Portsmouth and Dover,,,,
10,Virginia,1788/06/25,1788,1790,1607-English Settle Jamestown,,,,
11,New York,1788/07/26,1788,1790,1664-English Capture Dutch Territory; 1614-Albany (Du),,,,
12,North Carolina,1789/11/21,1789,1790,1585-Roanoke (Vanishes in 1587); 1663-Settlement Begins,,,,
13,Rhode Island,1790/05/29,1790,1790,1636-English Settle Providence,,,,
14,Vermont,1791/03/04,1791,1790,1724-English Capture French Territory (Ft. Dummer),,,,
15,Kentucky,1792/06/01,1792,1790,1774-Harrodstown Settled (US),,,,
16,Tennessee,1796/06/06,1796,1790,1769-Watauga Valley Settled (NC & VA),,,,
17,Ohio,1803/03/01,1803,1790,1747-Virginians are Granted Charter in Ohio Valley,,,,
18,Louisiana,1812/04/30,1812,1790,1714-Natchitoches (Fr); 1718-New Orleans (Fr); 1803 (US),,,,
19,Indiana,1816/12/11,1816,1790,1732-Vincennes (Fr); 1763-English Gain Control,,,,
20,Mississippi,1817/12/10,1817,1790,1699-Ft. Mauripas (Fr); 1763-English Gain Control,,,,
21,Illinois,1818/12/03,1818,1790,1680-Ft. Creve Coeur (Fr); 1763-English Gain Control,,,,
22,Alabama,1819/12/19,1819,1790,1702-Mobile (Fr); 1763-English Gain Control,,,,
23,Maine,1820/03/15,1820,1790,1607-Popham (1 Year); 1691-Part of Massachusetts,,,,
24,Missouri,1821/08/10,1821,1790,1735-Ste. Genevieve (Fr); 1764-St. Louis (Fr); 1803,,,,
25,Arkansas,1836/06/15,1836,1810,1686-Arkansas Post (Fr); 1803-US Purchases,,,,
26,Michigan,1837/01/26,1837,1790,1668-Saule Ste. Marie (Fr); 1701-Detroit (Fr); 1763-Engl,,,,
27,Florida,1845/03/03,1845,1820,1565-St. Augustine (Sp); 1763-English Gain Control,,,,
28,Texas,1845/12/29,1845,1820,1682-El Paso (Sp); 1718-San Antonio (Sp); 1821-Rep,,,,
29,Iowa,1846/12/28,1846,1830,1803-US Purchases; 1833-First Settlement by US,,,,
30,Wisconsin,1848/05/29,1848,1820,1701-Green Bay (Fr); 1763-English Gain Control,,,,
31,California,1850/09/09,1850,1830,1776-SF (Sp); 1781-LA (Sp); 1826-US Migration,,,,
32,Minnesota,1858/05/11,1858,1830,1650-1680-French Exploration; 1784-US Gains Control,,,,
33,Oregon,1859/02/14,1859,1850,1805-Lewis & Clark Explore; 1811-Astoria (US),,,,
34,Kansas,1861/01/29,1861,1850,1804-Lewis & Clark Explore; 1827-Ft. Leavenworth (US),,,,
35,West Virginia,1863/06/20,1863,1860,1726-Bunker Hill (Br); 1861-Secedes from Virginia,,,,
36,Nevada,1864/10/31,1864,1860,1849-Mormon Station (US); 1859-Virginia City (US),,,,
37,Nebraska,1867/03/01,1867,1850,1804-Lewis & Clark Explore; 1819-Ft. Atkinson (US),,,,
38,Colorado,1876/08/01,1876,1860,1806-Zebulon Pike Explores; 1833-Bent's Old Fort (US),,,,
39,North Dakota,1889/11/02,1889,1870,1797-Pembina (Fr); 1812-Pembina (Br); 1818-US Control,,,,
40,South Dakota,1889/11/02,1889,1870,1804-Lewis & Clark Explore; 1817-Ft. Pierre (US),,,,
41,Montana,1889/11/08,1889,1860,1806-Lewis & Clark Explore; 1841-Bitteroot Valley (US),,,,
42,Washington,1889/11/11,1889,1860,1805-Lewis & Clark Explore; 1811-Ft. Okanogan (US),,,,
43,Idaho,1890/07/03,1890,1860,1805-Lewis & Clark Explore; 1809-Pend Oreille Post (US),,,,
44,Wyoming,1890/07/10,1890,1870,1807-John Colter Explores; 1834-Ft. William (US),,,,
45,Utah,1896/01/04,1896,1850,1776-Franciscan Friars Explore; 1847-Salt Lake City (US),,,,
46,Oklahoma,1907/11/16,1907,1860,1803-US Acquires; 1811-Cherokee Reservations Established,,,,
47,New Mexico,1912/01/26,1912,1840,1610-Santa Fe (Sp); 1848-US Gains Control,,,,
48,Arizona,1912/02/14,1912,1830,1776-Ft. Tucson (Sp); 1848-US Gains Control,,,,
49,Alaska,1959/01/03,1959,1800,1784-Kodiak (Ru); 1867-US Gains Control; 1896-Gold,,,,
50,Hawaii,1959/08/21,1959,1840,1820-Missionaries (Br); 1898-US Annexes,,,,
