,State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A:Estimate,Counterflow from Geography A to Geography B1:Estimate,Net Migration from Geography B to Geography A1:Estimate,Gross Migration between Geography A and Geography B1:Estimate,Geography B - Domestic or International
4545,006,037,036,047,California,Los Angeles County,New York,Kings County,3441,980,2461,4421,Domestic
4312,006,037,025,025,California,Los Angeles County,Massachusetts,Suffolk County,1919,879,1040,2798,Domestic
4108,006,037,017,031,California,Los Angeles County,Illinois,Cook County,3263,2241,1022,5504,Domestic
4007,006,037,012,086,California,Los Angeles County,Florida,Miami-Dade County,1529,675,854,2204,Domestic
4571,006,037,036,119,California,Los Angeles County,New York,Westchester County,912,319,593,1231,Domestic
4549,006,037,036,061,California,Los Angeles County,New York,New York County,3425,2859,566,6284,Domestic
3830,006,037,002,020,California,Los Angeles County,Alaska,Anchorage Municipality,701,138,563,839,Domestic
4513,006,037,034,039,California,Los Angeles County,New Jersey,Union County,568,39,529,607,Domestic
4074,006,037,015,003,California,Los Angeles County,Hawaii,Honolulu County,1883,1411,472,3294,Domestic
3895,006,037,006,031,California,Los Angeles County,California,Kings County,1071,645,426,1716,Domestic
4502,006,037,034,017,California,Los Angeles County,New Jersey,Hudson County,521,148,373,669,Domestic
4557,006,037,036,081,California,Los Angeles County,New York,Queens County,954,581,373,1535,Domestic
4643,006,037,039,049,California,Los Angeles County,Ohio,Franklin County,695,373,322,1068,Domestic
4500,006,037,034,013,California,Los Angeles County,New Jersey,Essex County,461,146,315,607,Domestic
4289,006,037,024,005,California,Los Angeles County,Maryland,Baltimore County,364,66,298,430,Domestic
4164,006,037,018,141,California,Los Angeles County,Indiana,St. Joseph County,372,76,296,448,Domestic
4764,006,037,042,101,California,Los Angeles County,Pennsylvania,Philadelphia County,911,620,291,1531,Domestic
4288,006,037,024,003,California,Los Angeles County,Maryland,Anne Arundel County,361,73,288,434,Domestic
3971,006,037,009,001,California,Los Angeles County,Connecticut,Fairfield County,508,237,271,745,Domestic
4042,006,037,013,089,California,Los Angeles County,Georgia,DeKalb County,573,318,255,891,Domestic
4374,006,037,027,123,California,Los Angeles County,Minnesota,Ramsey County,375,129,246,504,Domestic
4049,006,037,013,121,California,Los Angeles County,Georgia,Fulton County,757,514,243,1271,Domestic
4296,006,037,024,031,California,Los Angeles County,Maryland,Montgomery County,516,293,223,809,Domestic
4348,006,037,026,161,California,Los Angeles County,Michigan,Washtenaw County,621,410,211,1031,Domestic
3975,006,037,009,009,California,Los Angeles County,Connecticut,New Haven County,413,211,202,624,Domestic
4515,006,037,035,001,California,Los Angeles County,New Mexico,Bernalillo County,571,370,201,941,Domestic
4496,006,037,034,003,California,Los Angeles County,New Jersey,Bergen County,406,213,193,619,Domestic
4719,006,037,041,037,California,Los Angeles County,Oregon,Lake County,189,0,189,189,Domestic
5121,006,037,072,127,California,Los Angeles County,Puerto Rico,San Juan Municipio,177,0,177,177,Domestic
4111,006,037,017,043,California,Los Angeles County,Illinois,DuPage County,362,188,174,550,Domestic
4339,006,037,026,125,California,Los Angeles County,Michigan,Oakland County,311,146,165,457,Domestic
4869,006,037,048,141,California,Los Angeles County,Texas,El Paso County,556,400,156,956,Domestic
4871,006,037,048,157,California,Los Angeles County,Texas,Fort Bend County,318,165,153,483,Domestic
4331,006,037,026,081,California,Los Angeles County,Michigan,Kent County,252,105,147,357,Domestic
5035,006,037,053,047,California,Los Angeles County,Washington,Okanogan County,144,0,144,144,Domestic
4598,006,037,037,119,California,Los Angeles County,North Carolina,Mecklenburg County,454,310,144,764,Domestic
4426,006,037,029,095,California,Los Angeles County,Missouri,Jackson County,261,119,142,380,Domestic
4838,006,037,047,157,California,Los Angeles County,Tennessee,Shelby County,359,217,142,576,Domestic
4205,006,037,020,009,California,Los Angeles County,Kansas,Barton County,149,11,138,160,Domestic
4859,006,037,048,061,California,Los Angeles County,Texas,Cameron County,154,17,137,171,Domestic
5059,006,037,055,009,California,Los Angeles County,Wisconsin,Brown County,141,10,131,151,Domestic
4150,006,037,018,057,California,Los Angeles County,Indiana,Hamilton County,150,21,129,171,Domestic
4507,006,037,034,027,California,Los Angeles County,New Jersey,Morris County,169,40,129,209,Domestic
4055,006,037,013,151,California,Los Angeles County,Georgia,Henry County,153,25,128,178,Domestic
4362,006,037,027,045,California,Los Angeles County,Minnesota,Fillmore County,125,0,125,125,Domestic
4301,006,037,024,510,California,Los Angeles County,Maryland,Baltimore city,426,302,124,728,Domestic
3998,006,037,012,057,California,Los Angeles County,Florida,Hillsborough County,400,277,123,677,Domestic
4976,006,037,051,059,California,Los Angeles County,Virginia,Fairfax County,671,551,120,1222,Domestic
4104,006,037,017,001,California,Los Angeles County,Illinois,Adams County,115,0,115,115,Domestic
4153,006,037,018,073,California,Los Angeles County,Indiana,Jasper County,108,0,108,108,Domestic
4679,006,037,040,027,California,Los Angeles County,Oklahoma,Cleveland County,129,23,106,152,Domestic
3876,006,037,005,119,California,Los Angeles County,Arkansas,Pulaski County,194,90,104,284,Domestic
4265,006,037,022,071,California,Los Angeles County,Louisiana,Orleans Parish,388,285,103,673,Domestic
3892,006,037,006,025,California,Los Angeles County,California,Imperial County,604,502,102,1106,Domestic
4011,006,037,012,095,California,Los Angeles County,Florida,Orange County,497,395,102,892,Domestic
