,Season,Stadium,Teams,Actual Surface
0,2017,University of Phoenix Stadium,Arizona Cardinals,grass
1,2016,University of Phoenix Stadium,Arizona Cardinals,grass
2,2015,University of Phoenix Stadium,Arizona Cardinals,grass
3,2014,University of Phoenix Stadium,Arizona Cardinals,grass
4,2013,University of Phoenix Stadium,Arizona Cardinals,grass
5,2012,University of Phoenix Stadium,Arizona Cardinals,grass
6,2011,University of Phoenix Stadium,Arizona Cardinals,grass
7,2010,University of Phoenix Stadium,Arizona Cardinals,grass
8,2009,University of Phoenix Stadium,Arizona Cardinals,grass
9,2008,University of Phoenix Stadium,Arizona Cardinals,grass
10,2007,University of Phoenix Stadium,Arizona Cardinals,grass
11,2006,University of Phoenix Stadium,Arizona Cardinals,grass
12,2005,Sun Devil Stadium,Arizona Cardinals,grass
13,2004,Sun Devil Stadium,Arizona Cardinals,grass
14,2003,Sun Devil Stadium,Arizona Cardinals,grass
15,2002,Sun Devil Stadium,Arizona Cardinals,grass
16,2001,Sun Devil Stadium,Arizona Cardinals,grass
17,2000,Sun Devil Stadium,Arizona Cardinals,grass
18,1999,Sun Devil Stadium,Arizona Cardinals,grass
19,1998,Sun Devil Stadium,Arizona Cardinals,grass
20,1997,Sun Devil Stadium,Arizona Cardinals,grass
21,1996,Sun Devil Stadium,Arizona Cardinals,grass
22,1995,Sun Devil Stadium,Arizona Cardinals,grass
23,1994,Sun Devil Stadium,Arizona Cardinals,grass
24,1993,Sun Devil Stadium,Arizona Cardinals,grass
25,1992,Sun Devil Stadium,Arizona Cardinals,grass
26,1991,Sun Devil Stadium,Arizona Cardinals,grass
27,1990,Sun Devil Stadium,Arizona Cardinals,grass
28,1989,Sun Devil Stadium,Arizona Cardinals,grass
29,1988,Sun Devil Stadium,Arizona Cardinals,grass
30,1987,Busch Stadium,Arizona Cardinals,astroturf
31,1986,Busch Stadium,Arizona Cardinals,astroturf
32,1985,Busch Stadium,Arizona Cardinals,astroturf
33,1984,Busch Stadium,Arizona Cardinals,astroturf
34,1983,Busch Stadium,Arizona Cardinals,astroturf
35,1982,Busch Stadium,Arizona Cardinals,astroturf
36,1981,Civic Center Busch Memorial Stadium,Arizona Cardinals,astroturf
37,1980,Civic Center Busch Memorial Stadium,Arizona Cardinals,astroturf
38,1979,Civic Center Busch Memorial Stadium,Arizona Cardinals,astroturf
39,1978,Civic Center Busch Memorial Stadium,Arizona Cardinals,astroturf
40,1977,Civic Center Busch Memorial Stadium,Arizona Cardinals,astroturf
41,1976,Civic Center Busch Memorial Stadium,Arizona Cardinals,astroturf
42,1975,Civic Center Busch Memorial Stadium,Arizona Cardinals,astroturf
43,1974,Civic Center Busch Memorial Stadium,Arizona Cardinals,astroturf
44,1973,Civic Center Busch Memorial Stadium,Arizona Cardinals,astroturf
45,1972,Civic Center Busch Memorial Stadium,Arizona Cardinals,astroturf
46,1971,Civic Center Busch Memorial Stadium,Arizona Cardinals,astroturf
47,1970,Civic Center Busch Memorial Stadium,Arizona Cardinals,astroturf
48,1969,Civic Center Busch Memorial Stadium,Arizona Cardinals,grass
49,1968,Civic Center Busch Memorial Stadium,Arizona Cardinals,grass
50,1967,Civic Center Busch Memorial Stadium,Arizona Cardinals,grass
51,1966,Civic Center Busch Memorial Stadium,Arizona Cardinals,grass
52,1965,Busch Stadium (Sportsman's Par,Arizona Cardinals,grass
53,1964,Busch Stadium (Sportsman's Par,Arizona Cardinals,grass
54,1963,Busch Stadium (Sportsman's Par,Arizona Cardinals,grass
55,1962,Busch Stadium (Sportsman's Par,Arizona Cardinals,grass
56,1961,Busch Stadium (Sportsman's Par,Arizona Cardinals,grass
57,1960,Busch Stadium (Sportsman's Par,Arizona Cardinals,grass
58,1959,Metropolitan Field/Soldier Field,Arizona Cardinals,grass
59,1958,Comiskey Park,Arizona Cardinals,grass
60,1957,Comiskey Park,Arizona Cardinals,grass
61,1956,Comiskey Park,Arizona Cardinals,grass
62,1955,Comiskey Park,Arizona Cardinals,grass
63,1954,Comiskey Park,Arizona Cardinals,grass
64,1953,Comiskey Park,Arizona Cardinals,grass
65,1952,Comiskey Park,Arizona Cardinals,grass
66,1951,Comiskey Park,Arizona Cardinals,grass
67,1950,Comiskey Park,Arizona Cardinals,grass
68,1949,Comiskey Park,Arizona Cardinals,grass
69,1948,Comiskey Park,Arizona Cardinals,grass
70,1947,Comiskey Park,Arizona Cardinals,grass
71,1946,Comiskey Park,Arizona Cardinals,grass
72,1945,Comiskey Park,Arizona Cardinals,grass
73,1944,Forbes Field,Arizona Cardinals,grass
74,1943,Comiskey Park,Arizona Cardinals,grass
75,1942,Comiskey Park,Arizona Cardinals,grass
76,1941,Comiskey Park,Arizona Cardinals,grass
77,1940,Comiskey Park,Arizona Cardinals,grass
78,1939,Wrigley Field,Arizona Cardinals,grass
79,1938,Comiskey Park,Arizona Cardinals,grass
80,1937,Wrigley Field,Arizona Cardinals,grass
81,1936,Wrigley Field,Arizona Cardinals,grass
82,1935,Wrigley Field,Arizona Cardinals,grass
83,1934,Wrigley Field,Arizona Cardinals,grass
84,1933,Wrigley Field,Arizona Cardinals,grass
85,1932,Wrigley Field,Arizona Cardinals,grass
86,1931,Wrigley Field,Arizona Cardinals,grass
87,1930,Comiskey Park,Arizona Cardinals,grass
88,1929,Comiskey Park,Arizona Cardinals,grass
89,1928,Normal Park,Arizona Cardinals,grass
90,1927,Normal Park,Arizona Cardinals,grass
91,1926,Normal Park,Arizona Cardinals,grass
92,1925,Comiskey Park,Arizona Cardinals,grass
93,1924,Comiskey Park,Arizona Cardinals,grass
94,1923,Comiskey Park,Arizona Cardinals,grass
95,1922,Comiskey Park,Arizona Cardinals,grass
96,1921,Normal Park,Arizona Cardinals,grass
97,1920,Normal Park,Arizona Cardinals,grass
98,2017,Mercedes-Benz Stadium,Atlanta Falcons,fieldturf
99,2016,Georgia Dome,Atlanta Falcons,fieldturf
100,2015,Georgia Dome,Atlanta Falcons,fieldturf
101,2014,Georgia Dome,Atlanta Falcons,fieldturf
102,2013,Georgia Dome,Atlanta Falcons,fieldturf
103,2012,Georgia Dome,Atlanta Falcons,fieldturf
104,2011,Georgia Dome,Atlanta Falcons,fieldturf
105,2010,Georgia Dome,Atlanta Falcons,fieldturf
106,2009,Georgia Dome,Atlanta Falcons,fieldturf
107,2008,Georgia Dome,Atlanta Falcons,fieldturf
108,2007,Georgia Dome,Atlanta Falcons,fieldturf
109,2006,Georgia Dome,Atlanta Falcons,fieldturf
110,2005,Georgia Dome,Atlanta Falcons,fieldturf
111,2004,Georgia Dome,Atlanta Falcons,fieldturf
112,2003,Georgia Dome,Atlanta Falcons,fieldturf
113,2002,Georgia Dome,Atlanta Falcons,astroturf
114,2001,Georgia Dome,Atlanta Falcons,astroturf
115,2000,Georgia Dome,Atlanta Falcons,astroturf
116,1999,Georgia Dome,Atlanta Falcons,astroturf
117,1998,Georgia Dome,Atlanta Falcons,astroturf
118,1997,Georgia Dome,Atlanta Falcons,astroturf
119,1996,Georgia Dome,Atlanta Falcons,astroturf
120,1995,Georgia Dome,Atlanta Falcons,astroturf
121,1994,Georgia Dome,Atlanta Falcons,astroturf
122,1993,Georgia Dome,Atlanta Falcons,astroturf
123,1992,Georgia Dome,Atlanta Falcons,astroturf
124,1991,Atlanta-Fulton County Stadium,Atlanta Falcons,grass
125,1990,Atlanta-Fulton County Stadium,Atlanta Falcons,grass
126,1989,Atlanta-Fulton County Stadium,Atlanta Falcons,grass
127,1988,Atlanta-Fulton County Stadium,Atlanta Falcons,grass
128,1987,Atlanta-Fulton County Stadium,Atlanta Falcons,grass
129,1986,Atlanta-Fulton County Stadium,Atlanta Falcons,grass
130,1985,Atlanta-Fulton County Stadium,Atlanta Falcons,grass
131,1984,Atlanta-Fulton County Stadium,Atlanta Falcons,grass
