,,imdb_id,title,year
Fast and Furious,0,tt1013752,Fast & Furious,2009
Fast and Furious,1,tt1905041,Fast & Furious 6,2013
Fast and Furious,2,tt2820852,Furious 7,2015
Fast and Furious,3,tt0232500,The Fast and the Furious,2001
Fast and Furious,4,tt1596343,Fast Five,2011
Fast and Furious,5,tt0322259,2 Fast 2 Furious,2003
Fast and Furious,6,tt0463985,The Fast and the Furious: Tokyo Drift,2006
Fast and Furious,7,tt4630562,The Fate of the Furious,2017
Fast and Furious,16,tt1538503,Los Bandoleros,2009
Fast and Furious,18,tt3757982,Fast & Furious: Supercharged,2015
Fast and Furious,19,tt0878117,Fast and the Furious: Tokyo Drift - The Japanese Way,2006
Fast and Furious,20,tt0843849,Fast and the Furious: Tokyo Drift Peek Performance,2006
Fast and Furious,21,tt1913023,Fast & Furious Five Special,2011
Fast and Furious,22,tt0454613,"Jackie Chan: Fast, Funny and Furious",2002
Fast and Furious,23,tt1008725,Tasmanian Devil: The Fast and Furious Life of Errol Flynn,2007
Fast and Furious,24,tt0456345,Christine: Fast and Furious,2004
Fast and Furious,25,tt4106374,Fast and Furious 6: The Game,2013
Fast and Furious,26,tt5933142,Fast and Furious: Fast Cars!,2015
Fast and Furious,27,tt2936266,Fast & Furious 6 Special,2013
Fast and Furious,28,tt3401738,Fast & Furious 6: Take Control,2013
Fast and Furious,29,tt6494060,Fast & Furious 8,2014
Fast and Furious,30,tt4608578,Fast & Furious Flow,2015
Fast and Furious,31,tt2353948,The Fast and the Furious,2006
Fast and Furious,32,tt0781022,The Fast and the Furious: Editing for the MPAA,2002
Fast and Furious,33,tt0781023,The Fast and the Furious: Visual Effects Montage,2002
Fast and Furious,34,tt3402104,The Making of Fast & Furious 6,2013
Fast and Furious,35,tt0231071,AIP: Fast and Furious,1985
Fast and Furious,36,tt2608150,Fast and Furious: A NASCAR Wedding,2011
Fast and Furious,37,tt5933234,Fast and Furious: Back Under the Hood,2015
Fast and Furious,38,tt5932982,Fast and Furious: Cast Favorites,2015
Fast and Furious,39,tt5933302,Fast and Furious: Mapping Fast & Furious,2015
Fast and Furious,40,tt5932974,Fast and Furious: Restrospective,2015
Fast and Furious,41,tt5852138,Fast and Furious: Super Cars,2011
Fast and Furious,44,tt5527608,Fast & Furious: Driving School with Vin Diesel,2009
Fast and Furious,45,tt5527604,Fast & Furious: Getting the Gang Back Together,2009
Fast and Furious,46,tt5527618,Fast & Furious: Races and Chases,2009
Fast and Furious,47,tt5527616,Fast & Furious: Shooting the Big Rig Heist,2009
Fast and Furious,48,tt1814003,Foxpro Fast & Furious,2010
Fast and Furious,49,tt4830544,Furious and Fast,2015
Fast and Furious,50,tt5527622,High Octane Action: The Stunts of 'Fast & Furious',2009
Fast and Furious,51,tt5273700,Making of Fast & Furious Supercharged Ride,2015
Fast and Furious,52,tt5267212,The Fast and the Furious: Dom's Charger,2009
Fast and Furious,53,tt5267236,The Fast and the Furious: Quarter Mile at a Time,2009
Fast and Furious,54,tt5267190,The Fast and the Furious: Tricking Out a Hot Import Car,2003
Fast and Furious,55,tt5598506,The Making of 'Fast and Furious 7',2015
Fast and Furious,56,tt5267184,The Making of 'The Fast and the Furious',2002
Fast and Furious,58,tt0396871,Slick II: Trained and Drained,2002
Fast and Furious,59,tt4319370,This Ain't Fast & Furious XXX,2014
Saw,0,tt0387564,Saw,2004
Saw,1,tt0432348,Saw II,2005
Saw,2,tt0489270,Saw III,2006
Saw,3,tt1588170,I Saw the Devil,2010
Saw,5,tt0890870,Saw IV,2007
Saw,6,tt1132626,Saw V,2008
Saw,7,tt1233227,Saw VI,2009
Saw,8,tt1477076,Saw 3D: The Final Chapter,2010
Saw,9,tt2301155,Shootout at Wadala,2013
Saw,10,tt0495241,Saw,2003
Saw,11,tt1144553,Saw,2009
Saw,13,tt1347521,I Saw the Sun,2009
Saw,14,tt2369543,When I Saw You,2012
Saw,15,tt1913273,Anohana: The Flower We Saw That Day,2011
Saw,16,tt1843840,The Last Time I Saw Macao,2012
Saw,17,tt2385882,Vic + Flo Saw a Bear,2013
Saw,18,tt1753792,The Day I Saw Your Heart,2011
Saw,19,tt1490785,I Saw the Light,2015
Saw,22,tt0258465,The Boy Who Saw the Iceberg,2000
Saw,23,tt5558496,"Veni, Vidi, Fugi: I came, I saw, I fled",2016
Saw,25,tt0083156,Bloody Moon,1981
Saw,26,tt2323836,Anohana: The Flower We Saw That Day - The Movie,2013
Saw,27,tt0282589,I Saw Mommy Kissing Santa Claus,2002
Saw,28,tt0095344,I Saw What You Did,1988
Saw,29,tt2567770,The Last Time I Saw Richard,2014
Saw,30,tt0081109,The Man Who Saw Tomorrow,1981
Saw,31,tt6221936,Last Time When You Saw Sahar?,2016
Saw,32,tt0262240,As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,2000
Saw,34,tt0282590,I Saw You,2000
Saw,35,tt0784145,The Boy Who Saw the Wind,2000
Saw,36,tt0286214,Texas Chain Saw Massacre: The Shocking Truth,2000
Saw,37,tt3265064,A Lady Caddy Who Never Saw a Hole in One,2013
Saw,39,tt1579236,I Know What I Saw,2009
Saw,40,tt1455046,I Saw Patrick Last Night,2009
Saw,41,tt0247417,I Saw You,2000
Saw,42,tt0444200,I Saw Ben Barka Get Killed,2005
Saw,43,tt2360719,Saw Dogs,2012
Saw,44,tt0818519,Saw Rebirth,2005
Saw,46,tt5138974,The Man Who Saw Too Much,2015
Saw,47,tt0105270,The Rodney King Case: What the Jury Saw in California v. Powell,1992
Saw,48,tt0100915,What the Moon Saw,1990
Saw,49,tt4061848,Alpha and Omega 4: The Legend of the Saw Toothed Cave,2014
Saw,51,tt1497614,Who Saw Him,2009
Saw,52,tt0449558,"Aida, I Saw Your Father Last Night",2005
Saw,53,tt0077692,L'homme en colère,1979
Saw,54,tt2424708,"See, Saw",2012
Saw,55,tt3687496,The Creation as We Saw It,2012
Saw,56,tt0462318,The Great Conspiracy: The 9/11 News Special You Never Saw,2005
Saw,58,tt5460820,The Man Who Saw Snow in Summer,2015
Saw,59,tt0500145,The Real World You Never Saw: Hawaii,1999
Saw,60,tt5841012,The Saw,2017
Saw,61,tt4076126,One Day I Saw 10.000 Elephants,2015
Saw,62,tt0111550,And Saw What Should Be Done,1994
Saw,63,tt3257266,I Saw Mice Burying a Cat,2011
Saw,65,tt0459168,Cycling Chronicles: Landscapes the Boy Saw,2004
Saw,66,tt4990696,Anohana: The Flower We Saw That Day,2015
Saw,67,tt0423832,Arthur C. Clarke: The Man Who Saw the Future,1997
Saw,68,tt0447610,Buzz Saw,2005
Saw,69,tt0186988,Elvis Is Alive! I Swear I Saw Him Eating Ding Dongs Outside the Piggly Wiggly's,1998
Saw,70,tt0839818,Flesh Wounds: Seven Stories of the Saw,2006
Saw,72,tt1016315,Post Mortem,2007
Saw,74,tt0084223,Ten Days That Shook the World,1983
Saw,75,tt1677012,Saw II: Flesh & Blood,2010
Saw,76,tt1521849,Split Second Murders,2009
Saw,78,tt1634072,The Last Time I Saw Michael Gregg,2011
Saw,79,tt1699236,The Man Who Saw Frankenstein Cry,2010
Saw,80,tt0180954,The Real World You Never Saw,1997
Saw,81,tt0202547,The Real World You Never Saw: Boston + Seattle,1998
Saw,82,tt0362075,The Real World You Never Saw: Las Vegas,2003
Saw,83,tt0371174,The Saw Is Family: Making 'Leatherface',2003
Saw,85,tt0185783,You Saw Me Up There,1998
Saw,86,tt3865938,A Ultima coisa que vi,2014
Saw,87,tt5657112,Eero Saarinen: The Architect Who Saw the Future,2016
Saw,88,tt2508618,Entrei em Pânico ao Saber o que Vocês Fizeram na Sexta-feira 13 do Verão Passado Parte 2 - A Hora da Volta da Vingança dos Jogos Mortais de Halloween,2011
Saw,89,tt4597494,Goldentusk's Saw Theme Song,2014
Saw,90,tt2973890,I Saw,2013
Saw,91,tt0815453,Hacking Away at 'Saw',2005
Saw,92,tt0119319,Hostile Takeover,1997
Saw,95,tt1815749,I Saw Mommy,2010
Saw,96,tt1631340,I Saw U,2010
Saw,97,tt0316990,I Saw You,2002
Saw,98,tt2302649,I Think I Just Saw the Devil,2012
Saw,99,tt1383244,I Swear I Saw the Periquita,2007
Saw,102,tt0206107,Ma Sheraiti B'Hebron,2001
Saw,103,tt1891869,Mr. Shaw and His Saw,2011
