,Unnamed: 0,Season,Season URL,Stadium,Stadium_url,Teams,Surface
0,0,2017,https://www.pro-football-reference.com/teams/crd/2017.htm,University of Phoenix Stadium,/stadiums/PHO00.htm,Arizona Cardinals, grass (2006-2017)
1,1,2016,https://www.pro-football-reference.com/teams/crd/2016.htm,University of Phoenix Stadium,/stadiums/PHO00.htm,Arizona Cardinals, grass (2006-2017)
2,2,2015,https://www.pro-football-reference.com/teams/crd/2015.htm,University of Phoenix Stadium,/stadiums/PHO00.htm,Arizona Cardinals, grass (2006-2017)
3,3,2014,https://www.pro-football-reference.com/teams/crd/2014.htm,University of Phoenix Stadium,/stadiums/PHO00.htm,Arizona Cardinals, grass (2006-2017)
4,4,2013,https://www.pro-football-reference.com/teams/crd/2013.htm,University of Phoenix Stadium,/stadiums/PHO00.htm,Arizona Cardinals, grass (2006-2017)
5,5,2012,https://www.pro-football-reference.com/teams/crd/2012.htm,University of Phoenix Stadium,/stadiums/PHO00.htm,Arizona Cardinals, grass (2006-2017)
6,6,2011,https://www.pro-football-reference.com/teams/crd/2011.htm,University of Phoenix Stadium,/stadiums/PHO00.htm,Arizona Cardinals, grass (2006-2017)
7,7,2010,https://www.pro-football-reference.com/teams/crd/2010.htm,University of Phoenix Stadium,/stadiums/PHO00.htm,Arizona Cardinals, grass (2006-2017)
8,8,2009,https://www.pro-football-reference.com/teams/crd/2009.htm,University of Phoenix Stadium,/stadiums/PHO00.htm,Arizona Cardinals, grass (2006-2017)
9,9,2008,https://www.pro-football-reference.com/teams/crd/2008.htm,University of Phoenix Stadium,/stadiums/PHO00.htm,Arizona Cardinals, grass (2006-2017)
10,10,2007,https://www.pro-football-reference.com/teams/crd/2007.htm,University of Phoenix Stadium,/stadiums/PHO00.htm,Arizona Cardinals, grass (2006-2017)
11,11,2006,https://www.pro-football-reference.com/teams/crd/2006.htm,University of Phoenix Stadium,/stadiums/PHO00.htm,Arizona Cardinals, grass (2006-2017)
